N,dim,featuremap,accuracy,balanced_accuracy,f1,svc_seconds,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,kernel_target_alignment,intra_class_similarity_mean,inter_class_similarity_mean,effective_rank,numerical_rank,circuit_depth,two_qubit_gates,gate_count,kernel_generation_seconds,train_kernel_circuits,test_kernel_circuits
64,5,z_feature_map,0.1875,0.21428571428571427,0.3157894736842105,0.0007842920022085309,0.43571428571428567,0.08735207775163875,0.0850091785476642,0.02908800118950693,0.03368241555693235,51.01803444347223,64,4,0,20,0.012206749990582466,2016,1024
48,4,zz_feature_map,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.00045137497363612056,0.495,0.07483314773547886,0.09621114431588883,0.061130101373766385,0.06732325499484054,40.255796594119765,48,16,8,28,0.013632083020638674,1128,576
48,4,custom_q_kernel,0.9166666666666666,0.9,0.8888888888888888,0.00047158298548310995,0.555,0.09797958971132709,0.0656316286356781,0.14311887861727116,0.14294734403659198,19.83444589022982,48,25,4,52,0.009555666008964181,1128,576
48,6,pauli_feature_map,0.4166666666666667,0.41428571428571426,0.36363636363636365,0.0006205000099726021,0.625,0.18439088914585774,0.1464157029105718,0.01717787938184925,0.01451128782066069,46.47848529147024,48,24,12,54,0.02825179195497185,1128,576
24,2,pauli_feature_map,0.5,0.625,0.4,0.0005844170227646828,0.4333333333333333,0.09718253158075502,0.040892352746679045,0.2448542220135208,0.278572655006449,8.310782123516764,13,9,2,15,0.004628790949936956,276,144
16,2,zz_feature_map,0.75,0.8333333333333333,0.6666666666666666,0.0005535419913940132,0.65,0.2,0.148440300751598,0.2781969921163638,0.2534654496070106,7.4930971527980565,13,7,2,11,0.002418167016003281,120,64
40,2,custom_q_kernel,0.9,0.875,0.8571428571428571,0.0006309169693849981,0.6116666666666667,0.10146154170149616,0.04002645070893396,0.3670512959054793,0.36057366005985714,5.566927436826346,9,6,1,12,0.005373625026550144,780,400
72,2,z_feature_map,0.3888888888888889,0.375,0.26666666666666666,0.0006645419634878635,0.43392857142857144,0.02082482819587607,0.04166164727455644,0.250242902466495,0.23926802621736615,7.665490980621104,9,4,0,8,0.0069062080001458526,2556,1296
64,2,efficient_su2,0.4375,0.5,0.6086956521739131,0.0006241669761948287,0.44523809523809527,0.05084322977157768,0.0016317253235998694,0.5618258955353279,0.5744970239286756,2.9451890554605598,4,10,0,10,0.006939957966096699,2016,1024
