Metric,N,Mean,Std,Standard Error,CI Lower (95%),CI Upper (95%),Mean ± Std,95% CI
Accuracy,3,0.6122967479674797,0.003520428470668453,0.002032520325203254,0.6035515188419727,0.6210419770929867,0.6123 ± 0.0035,"[0.6036, 0.6210]"
Balanced Accuracy,3,0.6061458333333333,0.008155117458087818,0.004708359259700018,0.5858873985119438,0.6264042681547227,0.6061 ± 0.0082,"[0.5859, 0.6264]"
Precision,3,0.5029200482599863,0.003979391859086547,0.0022975029610546233,0.4930346908729971,0.5128054056469754,0.5029 ± 0.0040,"[0.4930, 0.5128]"
Recall,3,0.578125,0.04605400829121717,0.02658929408419549,0.4637205012265251,0.6925294987734749,0.5781 ± 0.0461,"[0.4637, 0.6925]"
F1-score,3,0.5372877061598773,0.019721565944008035,0.011386251406613996,0.48829662046359595,0.5862787918561587,0.5373 ± 0.0197,"[0.4883, 0.5863]"
ROC AUC,3,0.6606510416666667,0.011096046460795777,0.0064063054110810366,0.6330869342020701,0.6882151491312632,0.6607 ± 0.0111,"[0.6331, 0.6882]"
PR AUC,3,0.5790682862905484,0.012963025744058297,0.007484206402844107,0.5468663451813428,0.611270227399754,0.5791 ± 0.0130,"[0.5469, 0.6113]"
