seed,C,gamma,accuracy_cv,balanced_accuracy_cv,precision_cv,recall_cv,f1_cv,f1_std,roc_auc_cv,fit_time_s
42,1.0,auto,0.6412213740458015,0.637741022597968,0.5349733679364814,0.6222238163558107,0.5740427140795509,0.02469034577241623,0.6939437799930738,0.3640627384185791
42,1.0,scale,0.6412213740458015,0.6373880216414878,0.5351710079179162,0.6202678144428504,0.5732863704772566,0.025503520308908484,0.6943843045523507,0.3794797420501709
42,10.0,auto,0.6377862595419848,0.6298191570381497,0.5329648003629214,0.5938546150167384,0.5605204543548322,0.019510263442701063,0.691339826960297,0.47506303787231446
42,10.0,scale,0.6370229007633588,0.6290164609597184,0.5318679108303297,0.5928742228598757,0.5595508870203837,0.020034641574294212,0.6902589029581172,0.5387615203857422
42,10.0,0.01,0.6175572519083969,0.6072433376210029,0.5090513104466593,0.5606073648971784,0.5302602166923202,0.046532640403678764,0.6588279841000165,0.33332252502441406
42,0.1,scale,0.6106870229007633,0.6012651052278086,0.5017817163020741,0.5586704925872789,0.527206388468998,0.034128407598303434,0.6458538199332413,0.46248679161071776
42,0.1,auto,0.6106870229007634,0.6010859975728191,0.5017248463201152,0.5576853180296509,0.5266692720082127,0.033238803175703,0.6450276269378843,0.44512042999267576
42,1.0,0.01,0.6049618320610687,0.5596772422938134,0.5091500242815041,0.3541272118603539,0.40635947865035976,0.053279979984803064,0.587890129917515,0.4315169334411621
42,0.1,0.01,0.5908396946564884,0.5206244654467798,0.45487000717446746,0.2015016738402678,0.26836785468818464,0.06679686162301939,0.5027245608418075,0.39092650413513186
123,1.0,auto,0.6377862595419848,0.6358918245121277,0.5306631937030852,0.6272166427546628,0.5740493240670217,0.016883691116224772,0.682875145093017,0.3506950378417969
123,1.0,scale,0.6374045801526718,0.6345208693137779,0.5304868850417238,0.6213438546150167,0.5715485185908967,0.016717357478072355,0.6835238682932077,0.37236752510070803
123,10.0,scale,0.6362595419847328,0.6286311586527722,0.5305941147762724,0.5939120038259207,0.5601180904829883,0.020413033283024098,0.6741118915931691,0.4692047595977783
123,10.0,auto,0.6347328244274809,0.6273830021820641,0.5287052035657522,0.593921568627451,0.5589339994866349,0.02178606411977765,0.6748105179834759,0.47112293243408204
123,0.1,scale,0.6122137404580152,0.6095116043492862,0.5037133553359361,0.5969679579148732,0.5439439644761033,0.030440014111239172,0.6420980335468923,0.4616178035736084
123,0.1,auto,0.6114503816793893,0.6087112994712374,0.5029049601355488,0.5959923481587757,0.5427083377103777,0.03245171940671747,0.6417306935867856,0.44701433181762695
123,10.0,0.01,0.5996183206106871,0.5973713497651526,0.4911703886693003,0.5871114299378288,0.532267011682635,0.02530709251709967,0.6574260243463927,0.3277598857879639
123,1.0,0.01,0.566030534351145,0.5502475154753392,0.44951009276745824,0.47848876135820184,0.4527259049525929,0.06787026382626424,0.595331108870454,0.36822686195373533
123,0.1,0.01,0.5557251908396947,0.5214161645333262,0.4351185207225301,0.3658201817312291,0.38074034610170787,0.06542333865857694,0.5312959123122832,0.4126704216003418
2026,1.0,scale,0.6297709923664122,0.6236996906243956,0.5220121747914154,0.5959397417503587,0.55598560260183,0.030763366879943917,0.6751104168634348,0.3189266204833984
2026,1.0,auto,0.6282442748091602,0.622269055674491,0.5202078845335973,0.594959349593496,0.554541969821662,0.03114427148927823,0.6751289446841892,0.37976665496826173
2026,10.0,auto,0.6087786259541985,0.597821905981599,0.4996604884208435,0.5479674796747966,0.5221574471000747,0.009682042591618477,0.6579814853439656,0.455429220199585
2026,10.0,0.01,0.6110687022900764,0.6003265679790534,0.5076104842340201,0.5510234337637494,0.5202509692821244,0.037823974915002036,0.6542898615071459,0.3340590476989746
2026,10.0,scale,0.6057251908396946,0.5935564692464645,0.49592885287192007,0.53818268770923,0.5157218722699215,0.009278874432579314,0.6567962815334866,0.4965779781341553
2026,0.1,scale,0.6137404580152672,0.5998545045455295,0.5113163818741432,0.5363175514108083,0.5152529094272774,0.0362935345697612,0.6338348086721117,0.3831337451934814
2026,0.1,auto,0.6118320610687024,0.5982953753697365,0.5089836939484585,0.5363223338115735,0.5139723846895906,0.036393914797031766,0.6332650149955998,0.4851710319519043
2026,1.0,0.01,0.5759541984732824,0.5531514985667789,0.47899020158018857,0.44841702534672406,0.4357793658022421,0.07373678611044539,0.595256559310015,0.3989867687225342
2026,0.1,0.01,0.5324427480916031,0.51622776708359,0.4111652128692058,0.4415542802486848,0.40286383651595675,0.09200865314732873,0.5161993029444748,0.4191007614135742
