Métrica,Media,Desviación estándar,Media ± DE
Accuracy,0.6122967479674797,0.003520428470668453,0.6123 ± 0.0035
Balanced Accuracy,0.6061458333333333,0.008155117458087818,0.6061 ± 0.0082
Precision,0.5029200482599863,0.003979391859086547,0.5029 ± 0.0040
Recall,0.578125,0.04605400829121717,0.5781 ± 0.0461
F1,0.5372877061598773,0.019721565944008035,0.5373 ± 0.0197
ROC AUC,0.6606510416666667,0.011096046460795777,0.6607 ± 0.0111
PR AUC,0.5790682862905484,0.012963025744058297,0.5791 ± 0.0130
