seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,best_cv_f1,best_C,best_gamma,runtime_seconds
42,0.614329268292683,0.598671875,0.5056179775280899,0.52734375,0.5162523900573613,0.6479589843750001,0.5643730855681501,0.5740427140795509,1,auto,4.213790294001228
123,0.6082317073170732,0.604921875,0.49834983498349833,0.58984375,0.5402504472271914,0.665478515625,0.5888813162770739,0.5740493240670217,1,auto,3.7451613799985353
2026,0.614329268292683,0.61484375,0.5047923322683706,0.6171875,0.5553602811950791,0.668515625,0.5839504570264213,0.55598560260183,1,scale,3.8372946950003097
