seed,C,gamma,accuracy_cv,balanced_accuracy_cv,precision_cv,recall_cv,f1_cv,f1_std,roc_auc_cv,fit_time_s
2026,1.0,scale,0.6297709923664122,0.6236996906243956,0.5220121747914154,0.5959397417503587,0.55598560260183,0.030763366879943917,0.6751104168634348,0.3189266204833984
2026,1.0,auto,0.6282442748091602,0.622269055674491,0.5202078845335973,0.594959349593496,0.554541969821662,0.03114427148927823,0.6751289446841892,0.37976665496826173
2026,10.0,auto,0.6087786259541985,0.597821905981599,0.4996604884208435,0.5479674796747966,0.5221574471000747,0.009682042591618477,0.6579814853439656,0.455429220199585
2026,10.0,0.01,0.6110687022900764,0.6003265679790534,0.5076104842340201,0.5510234337637494,0.5202509692821244,0.037823974915002036,0.6542898615071459,0.3340590476989746
2026,10.0,scale,0.6057251908396946,0.5935564692464645,0.49592885287192007,0.53818268770923,0.5157218722699215,0.009278874432579314,0.6567962815334866,0.4965779781341553
2026,0.1,scale,0.6137404580152672,0.5998545045455295,0.5113163818741432,0.5363175514108083,0.5152529094272774,0.0362935345697612,0.6338348086721117,0.3831337451934814
2026,0.1,auto,0.6118320610687024,0.5982953753697365,0.5089836939484585,0.5363223338115735,0.5139723846895906,0.036393914797031766,0.6332650149955998,0.4851710319519043
2026,1.0,0.01,0.5759541984732824,0.5531514985667789,0.47899020158018857,0.44841702534672406,0.4357793658022421,0.07373678611044539,0.595256559310015,0.3989867687225342
2026,0.1,0.01,0.5324427480916031,0.51622776708359,0.4111652128692058,0.4415542802486848,0.40286383651595675,0.09200865314732873,0.5161993029444748,0.4191007614135742
