,0,1,2,3,4,5,6,7
0,1.0,0.333,0.257,0.122,0.376,0.689,0.68,0.608
1,0.333,1.0,0.648,0.614,0.322,0.246,0.584,0.188
2,0.257,0.648,1.0,0.762,0.139,0.014,0.526,0.078
3,0.122,0.614,0.762,1.0,0.396,0.062,0.556,0.016
4,0.376,0.322,0.139,0.396,1.0,0.075,0.392,0.354
5,0.689,0.246,0.014,0.062,0.075,1.0,0.407,0.484
6,0.68,0.584,0.526,0.556,0.392,0.407,1.0,0.165
7,0.608,0.188,0.078,0.016,0.354,0.484,0.165,1.0
