,0,1,2,3,4,5,6,7
0,1.0,0.442,0.484,0.234,0.162,0.356,0.574,0.07
1,0.442,1.0,0.879,0.82,0.407,0.27,0.445,0.359
2,0.484,0.879,1.0,0.931,0.625,0.565,0.147,0.456
3,0.234,0.82,0.931,1.0,0.815,0.673,0.142,0.7
4,0.162,0.407,0.625,0.815,1.0,0.946,0.147,0.957
5,0.356,0.27,0.565,0.673,0.946,1.0,0.114,0.865
6,0.574,0.445,0.147,0.142,0.147,0.114,1.0,0.321
7,0.07,0.359,0.456,0.7,0.957,0.865,0.321,1.0
